"2023-11-22 10:06:08 [main] INFO  com.example.SoapPartApplication - Starting SoapPartApplication using Java 21.0.1 with PID 14600 (C:\Users\kuzebenko\IdeaProjects\task-project\soap-module\target\classes started by kozubenko in C:\Users\kuzebenko\IdeaProjects\task-project)
""2023-11-22 10:35:32 [main] INFO  com.example.SoapPartApplication - Starting SoapPartApplication using Java 21.0.1 with PID 5956 (C:\Users\kuzebenko\IdeaProjects\task-project\soap-module\target\classes started by kozubenko in C:\Users\kuzebenko\IdeaProjects\task-project)
""2023-11-22 10:35:32 [main] INFO  com.example.SoapPartApplication - No active profile set, falling back to 1 default profile: "default"
""2023-11-22 10:35:33 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'webServiceConfig' of type [com.example.config.WebServiceConfig$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2023-11-22 10:35:33 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2023-11-22 10:35:33 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
""2023-11-22 10:35:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
""2023-11-22 10:35:33 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-11-22 10:35:33 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
""2023-11-22 10:35:33 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-11-22 10:35:33 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1218 ms
""2023-11-22 10:35:34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
""2023-11-22 10:35:34 [main] INFO  com.example.SoapPartApplication - Started SoapPartApplication in 2.295 seconds (process running for 2.952)
""2023-11-22 10:35:48 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring MessageDispatcherServlet 'messageDispatcherServlet'
""2023-11-22 10:35:48 [http-nio-8081-exec-1] INFO  o.s.w.t.h.MessageDispatcherServlet - Initializing Servlet 'messageDispatcherServlet'
""2023-11-22 10:35:48 [http-nio-8081-exec-1] INFO  o.s.w.s.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
""2023-11-22 10:35:48 [http-nio-8081-exec-1] INFO  o.s.w.t.h.MessageDispatcherServlet - Completed initialization in 23 ms
""2023-11-22 10:35:48 [http-nio-8081-exec-1] INFO  com.example.endpoint.PersonEndpoint - Начало конвертации
""2023-11-22 10:35:48 [http-nio-8081-exec-1] INFO  com.example.service.ConvertService - Конвертация завершена успешно!
"
